Individual Establishment Salmonella Categories for Each Product,,,,,,
"for Sample Collection Period December 01, 2024 through November 29, 2025",,,,,,
,,,,,,
Establishment Number,Establishment Name,City,State,District Number,Product Class,Category
M9305+P9305,"Ray's Wholesale Meats, Inc.",Union Gap,WA,15,Chicken Parts,NA
M9432+P9432+V9432,US Foods Inc,Greensburg,PA,60,Chicken Parts,NA
M9681+P9681,Clair D Thompson & Son's Inc,Jersey Shore,PA,60,Chicken Parts,NA
M9684+P9684,"KFS LFG, LLC",Millerton,PA,60,Chicken Parts,1
M9778+P9870,Schiff's Food Service,Taylor,PA,60,Chicken Parts,NA
M9783+P8422,"Schiff's Restaurant Service, Inc.",Scranton,PA,60,Chicken Parts,NA
M9977+P1325,"Tyson Foods, Inc.",New Holland,PA,60,Chicken Parts,NA
P1009,Wayne Farms LLC,Danville,AR,35,Chicken Parts,1
P1012,"Hodie Meats, INC",Alto,GA,85,Chicken Parts,1
P1137,"Tyson Foods, Inc.",Seguin,TX,40,Chicken Parts,1
P1235,Wayne Farms LLC,Decatur,AL,90,Chicken Parts,1
P1243,"Perdue Foods, LLC.",Rockingham,NC,80,Chicken Parts,2
P1249,"George's Chicken, LLC",Edinburg,VA,80,Chicken Parts,2
P1250,Fieldale Farms Corporation,Cornelia,GA,85,Chicken Parts,3
P1254+V1254,"Koch Foods of Ashland, LLC",Ashland,AL,90,Chicken Parts,NA
P1257,Fieldale Farms Corporation,Murrayville,GA,85,Chicken Parts,2
P1272,Pilgrim's Pride Corporation,Douglas,GA,85,Chicken Parts,1
P1284,Pilgrim's Pride Corporation,Canton,GA,85,Chicken Parts,1
P1294+V1294,Holmes Foods Inc.,Nixon,TX,40,Chicken Parts,1
P1307,Mar-Jac Poultry-AL,Jasper,AL,90,Chicken Parts,2
P1309,House of Raeford Farms Inc.,Greenville,SC,85,Chicken Parts,1
P1315,"Tyson Foods, Inc.",Monett,MO,35,Chicken Parts,2
P1317+V1317,Wayne Farms LLC,Albertville,AL,90,Chicken Parts,1
P1318,"Perdue Foods, LLC",Milford,DE,80,Chicken Parts,1
P13369+V13369,"George's Processing, Inc.",Cassville,MO,35,Chicken Parts,1
P1353,Pilgrim's Pride Corporation,Chattanooga,TN,90,Chicken Parts,1
P13584+V13584,George's Further Processing,Springdale,AR,35,Chicken Parts,1
P1480,"Tip Top Poultry, Inc.",Marietta,GA,85,Chicken Parts,1
P1525,"Samuel Holmes, Inc.",Everett,MA,60,Chicken Parts,2
P15724+V15724,Case Farms Processing,Winesburg,OH,50,Chicken Parts,2
P1605,"Tide Mill Organic Farm, LLC",Edmunds Twp,ME,60,Chicken Parts,NA
P164,"Tyson Foods, Inc.",Forest,MS,90,Chicken Parts,2
P165H,Bachoco OK Foods,Heavener,OK,40,Chicken Parts,1
P165M+V165M,Bachoco OK Foods,Muldrow,OK,35,Chicken Parts,1
P165S+V165S,Bachoco OK Foods,Fort Smith,AR,35,Chicken Parts,1
P170,Wayne Farms LLC,Pendergrass,GA,85,Chicken Parts,1
P17336,"ROYAL POULTRY, INC.",CRANSTON,RI,60,Chicken Parts,1
P17340,Pilgrim's Pride Corporation,Hickory,KY,90,Chicken Parts,2
P17500,Pilgrim's Pride Corporation,Russellville,AL,90,Chicken Parts,1
P177,Pilgrim's Pride Corporation,Gainesville,GA,85,Chicken Parts,1
P1788+V1788,Steadfast Farms Poultry Processing & Slaughter LLC,Bethlehem,CT,60,Chicken Parts,NA
P17966+V17966,"HVFG, LLC",Ferndale,NY,60,Chicken Parts,NA
P18285,Perdue Foods LLC,Dillon,SC,85,Chicken Parts,3
P18414,MB Consultants LTD,South Fallsburg,NY,60,Chicken Parts,1
P18438B,"Dupont Market, Inc. dba Grimaud Farms",Stockton,CA,05,Chicken Parts,NA
P18491,"EASTERN SHORE POULTRY COMPANY, INC",GEORGETOWN,DE,80,Chicken Parts,1
P18557,"Sanderson Farms, Inc.",Summit,MS,90,Chicken Parts,1
P18978,Misty Knoll Farms,New Haven,VT,60,Chicken Parts,1
P19112,Perdue Foods LLC,Cromwell,KY,90,Chicken Parts,1
P19128,Case Farms Processing,Dudley,NC,80,Chicken Parts,2
P19150+V19150,La Belle Farm Inc,Ferndale,NY,60,Chicken Parts,3
P19152+V19152,Koch Foods LLC,Morristown,TN,90,Chicken Parts,1
P192,Pilgrim's Pride Corporation,Guntersville,AL,90,Chicken Parts,1
P19378,Koch Foods of Cumming,Cumming,GA,85,Chicken Parts,2
P1938,Frango Mineiro Live Butcher Shop LLC,Warwick,MD,80,Chicken Parts,NA
P19456A,"Rio Star Foods, Inc.",Dallas,TX,40,Chicken Parts,1
P1949,"Simmons Prepared Foods, Inc.",Gentry,AR,35,Chicken Parts,1
P19514,"Tyson Foods, Inc.",Robards,KY,90,Chicken Parts,1
P19688+V19688,"Sanderson Farms, Inc.",Bryan,TX,40,Chicken Parts,1
P1978,Pasture Raised Foods LLC,Elgin,TX,40,Chicken Parts,3
P19865+V19865,House of Raeford Farms of LA,Arcadia,LA,40,Chicken Parts,1
P19871,Filet of Chicken,Forest Park,GA,85,Chicken Parts,1
P20245,"Keystone Foods, LLC",Albany,KY,90,Chicken Parts,2
P20256,Broomes Poultry,Albemarle,NC,80,Chicken Parts,1
P206+V206,Pilgrim's Pride Corporation,Nacogdoches,TX,40,Chicken Parts,1
P20699A,"Alatrade Foods, Inc.",Boaz,AL,90,Chicken Parts,2
P208+V208,"George's Processing, Inc.",Springdale,AR,35,Chicken Parts,1
P21234,Perdue Foods LLC,Perry,GA,85,Chicken Parts,2
P2178,PERDUE FOODS LLC,Georgetown,DE,80,Chicken Parts,1
P218,Pilgrim's Pride Corporation,Lufkin,TX,40,Chicken Parts,1
P2186,"GEORGE'S FOODS, LLC",HARRISONBURG,VA,80,Chicken Parts,2
P2191,Stearns Poultry Farm,Alfred Station,NY,60,Chicken Parts,NA
P2372,DRR Processing LLC,Burton,TX,40,Chicken Parts,NA
P243,"Tyson Foods, Inc.",Cumming,GA,85,Chicken Parts,1
P247,"Sanderson Farms, Inc. (Processing Div)",Hazlehurst,MS,90,Chicken Parts,1
P2632,Pilgrim's Pride Corporation,Live Oak,FL,85,Chicken Parts,1
P2686,"Keystone Foods, LLC",Camilla,GA,85,Chicken Parts,1
P27+V27,"Tyson Foods, Inc.",Grannis,AR,35,Chicken Parts,1
P2882,Perdue Foods LLC,Petaluma,CA,05,Chicken Parts,3
P2894,House of Raeford Vienna,Vienna,GA,85,Chicken Parts,1
P308,Koch Foods of Mississippi,Morton,MS,90,Chicken Parts,1
P31881+V31881,"DG Foods, LLC",Hazlehurst,MS,90,Chicken Parts,3
P32,"Mar-Jac Poultry, Inc.",Gainesville,GA,85,Chicken Parts,1
P320,"Sanderson Farms, Inc.",Laurel,MS,90,Chicken Parts,1
P32143,Otto's Poultry Inc.,Middleville,MI,50,Chicken Parts,3
P32174,"Alatrade Foods, Inc.",Albertville,AL,90,Chicken Parts,2
P32182,"Sanderson Farms, Inc.",Moultrie,GA,85,Chicken Parts,1
P325,"Tyson Foods, Inc.",Center,TX,40,Chicken Parts,1
P3302,Cluck Ya Poultry,Gardiner,ME,60,Chicken Parts,NA
P33900+V33900,"Case Farms, Processing",Farmerville,LA,40,Chicken Parts,1
P34084,Edmunds Foods,Dahlonega,GA,85,Chicken Parts,3
P341,Golden Rod Broilers,Cullman,AL,90,Chicken Parts,NA
P34308,"Sanderson Farms, Inc.",Waco,TX,40,Chicken Parts,1
P34453,"Alatrade Foods, Inc.",Phenix City,AL,90,Chicken Parts,1
P34805,Gold Creek Processing LLC,Gainesville,GA,85,Chicken Parts,1
P38555,Anco Poultry Processing,Garnett,KS,35,Chicken Parts,NA
P39,Pine Manor Inc.,Orland,IN,50,Chicken Parts,3
P39915+V39915,"LOCUST POINT FARMS, LLC",ELKTON,MD,80,Chicken Parts,3
P40,Pilgrim's Pride Corporation,Ellijay,GA,85,Chicken Parts,2
P40124,Gold Creek Processing LLC,Gainesville,GA,85,Chicken Parts,1
P40183,"Sanderson Farms, Inc.",Kinston,NC,80,Chicken Parts,1
P40345,Misty Lea Farm Poultry Processing,Pembroke,KY,90,Chicken Parts,1
P419,"Case Farms Processing, Inc.",Morganton,NC,80,Chicken Parts,1
P44097,"DG Foods, LLC",Bastrop,LA,40,Chicken Parts,1
P445,"Wayne Farms, LLC",Dobson,NC,80,Chicken Parts,1
P44817,"Chick-A-Ray Poultry & Egg Co., Inc.",Albemarle,NC,80,Chicken Parts,1
P44826,Case Farms Processing,Canton,OH,50,Chicken Parts,1
P44935,Gold Creek Processing LLC,Gainesville,GA,85,Chicken Parts,2
P44974+V44974,Goffle Road Poultry Farm,Wyckoff,NJ,80,Chicken Parts,NA
P44992,Windy Meadows Family Farm,Campbell,TX,40,Chicken Parts,3
P45342+V45342,"Munsell's Poultry Processing, LLC",Fowlerville,MI,50,Chicken Parts,NA
P45379,"Brakebush Hartwell, LLC",Hartwell,GA,85,Chicken Parts,3
P45483,"Peco Foods, Inc.",Pocahontas,AR,35,Chicken Parts,1
P45910,"Sanderson Farms, Inc.",St Pauls,NC,80,Chicken Parts,1
P46027,"Gold Creek Processing, LLC",Gainesville,GA,85,Chicken Parts,1
P4602A,"NEW MARKET POULTRY, LLC",NEW MARKET,VA,80,Chicken Parts,1
P46091,"Ozark Mountain Poultry, Inc.",Batesville,AR,35,Chicken Parts,1
P46183,C &S Poultry,Monterey Park,CA,05,Chicken Parts,1
P46213,Burgundy Pasture Poultry LLC,Hillsboro,TX,40,Chicken Parts,1
P46338,"Allen Harim Foods, LLC",Millsboro,DE,80,Chicken Parts,2
P46374,Sanderson Farms Processing Inc. Tyler Processing Division,Tyler,TX,40,Chicken Parts,1
P46379+V46379,"Peco Foods, Inc",West Point,MS,90,Chicken Parts,1
P46672,Norman W. Fries,Sylvania,GA,85,Chicken Parts,1
P468,"Peco Foods, Inc.",Batesville,AR,35,Chicken Parts,1
P46826,SHENANDOAH VALLEY ORGANIC,Harrisonburg,VA,80,Chicken Parts,2
P46826A,"Shenandoah Valley Organic, LLC",Harrisonburg,VA,80,Chicken Parts,3
P46897,"IHSAN FARMS, IIC",PRINCESS ANNE,MD,80,Chicken Parts,3
P46973,Zahran Import Export Wholesale Inc.,Long Island City,NY,60,Chicken Parts,3
P47016,"The Best Dressed Chicken, Inc.",Ward,SC,85,Chicken Parts,2
P47394,Poultry Processing of Atlanta,Loganville,GA,85,Chicken Parts,NA
P47591,Custom Craft Poultry,Little Rock,AR,35,Chicken Parts,3
P476,Pilgrim's Pride Corporation,Carrollton,GA,85,Chicken Parts,2
P47629,"Soulshine Farms, LLC",Gainesville,GA,85,Chicken Parts,2
P47824,Regenerative Agriculture Alliance,Stacyville,IA,25,Chicken Parts,NA
P47981,Carolina Precision Foods,Florence,SC,85,Chicken Parts,1
P48304,Lincoln Premium Poultry,Fremont,NE,15,Chicken Parts,2
P48471,Soulshine Farms LLC,Gainesville,GA,85,Chicken Parts,1
P486,"Simmons Prepared Foods, Inc.",Siloam Springs,AR,35,Chicken Parts,2
P509,Koch Foods LLC,Morristown,TN,90,Chicken Parts,2
P510,House Of Raeford Farms,Rose Hill,NC,80,Chicken Parts,1
P51179+V51179,"Sanderson Farms, Inc.",Palestine,TX,40,Chicken Parts,1
P51345,Pearl River Foods,Carthage,MS,90,Chicken Parts,2
P517,Mar-Jac Poultry-MS,Hattiesburg,MS,90,Chicken Parts,1
P519,Amick Farms LLC,Laurel,MS,90,Chicken Parts,1
P522,"Sanderson Farms, Inc. (Processing Div)",Collins,MS,90,Chicken Parts,1
P529+V529,Pilgrim's Pride Corporation,Arcadia,WI,25,Chicken Parts,1
P533A,"Table Trust Brands, LLC",Fredericksburg,PA,60,Chicken Parts,1
P548,"JCG  Foods of Alabama, LLC",Collinsville,AL,90,Chicken Parts,1
P559,"Tyson Foods, Inc.",Albertville,AL,90,Chicken Parts,1
P5787,Pilgrim's Pride Corporation,Natchitoches,LA,40,Chicken Parts,2
P5840,"Simmons Prepared Foods, Inc.",Fort Smith,AR,35,Chicken Parts,2
P6058,Perdue Foods LLC,Mount Vernon,WA,15,Chicken Parts,2
P607,"Tyson Foods, Inc.",Rogers,AR,35,Chicken Parts,1
P6137A,"Foster Poultry Farms, LLC",Fresno,CA,05,Chicken Parts,3
P6164A,"Foster Poultry Farms, LLC",Kelso,WA,15,Chicken Parts,3
P622,"Tyson Foods, Inc.",Monroe,NC,80,Chicken Parts,1
P646,"JCG Foods of Georgia, LLC",Pine Mt Valley,GA,85,Chicken Parts,1
P6504,"Peco Foods, Inc.",Tuscaloosa,AL,90,Chicken Parts,1
P6505,"Norman W. Fries, Inc.",Claxton,GA,85,Chicken Parts,1
P6510,"Peco Foods, Inc",Bay Springs,MS,90,Chicken Parts,1
P6519B,"Coastal Processing, LLC",Louisville,GA,85,Chicken Parts,1
P6529,"Koch Foods of  Montgomery, AL",Montgomery,AL,90,Chicken Parts,1
P6616+V6616,"Peco Foods, Inc.",Sebastopol,MS,90,Chicken Parts,1
P6638,Pilgrim's Pride Corporation,Enterprise,AL,90,Chicken Parts,2
P6651,Tyson Foods Inc.,Shelbyville,TN,90,Chicken Parts,1
P6666,"Koch Foods of Gadsden, LLC",Gadsden,AL,90,Chicken Parts,1
P6719+V6719,Pilgrim's Pride Corporation,Chattanooga,TN,90,Chicken Parts,1
P687,House of Raeford,West Columbia,SC,85,Chicken Parts,1
P7044,"Tyson Foods, Inc.",Carthage,TX,40,Chicken Parts,1
P705,Pilgrim's Pride Corporation,De Queen,AR,35,Chicken Parts,1
P7085+V7085,"Tyson Foods, Inc",Broken Bow,OK,40,Chicken Parts,2
P7091,Pilgrim's Pride Corporation,Mount Pleasant,TX,40,Chicken Parts,1
P7101,"Tyson Foods, Inc.",Clarksville,AR,35,Chicken Parts,1
P7156+V7156,"Tyson Foods, Inc.",Hope,AR,35,Chicken Parts,1
P72,"Tyson Foods, Inc",Dardanelle,AR,35,Chicken Parts,1
P7264+V7264,"Sanderson Farms, Inc.",Hammond,LA,40,Chicken Parts,1
P727+V727,"Simmons Prepared Foods, Inc.",South West City,MO,35,Chicken Parts,1
P7342+V7342,Wayne Farms LLC,Dothan,AL,90,Chicken Parts,1
P7374,"To-Ricos, Ltd.",Aibonito,PR,85,Chicken Parts,1
P7485+V7485,Wayne Farms LLC,Jack,AL,90,Chicken Parts,1
P758,"Tyson Foods, Inc",Carthage,MS,90,Chicken Parts,2
P7632,"Foster Poultry Farms, LLC",Fresno,CA,05,Chicken Parts,2
P764,"Perdue Foods, LLC",Salisbury,MD,80,Chicken Parts,1
P768+V768,"Tyson Foods, Inc.",Waldron,AR,35,Chicken Parts,1
P7903,"Perdue Foods, LLC",Accomac,VA,80,Chicken Parts,1
P7927,"AMICK FARMS, LLC",HURLOCK,MD,80,Chicken Parts,1
P794,"B&B Poultry Co., Inc.",Norma,NJ,80,Chicken Parts,3
P7987,Amick Farms LLC.,Batesburg,SC,85,Chicken Parts,1
P806,"Tyson Foods, Inc.",Temperanceville,VA,80,Chicken Parts,1
P8107+V8107,Squab Producers Of California,Modesto,CA,05,Chicken Parts,1
P8369,"Oaks Poultry Co., Inc.",Stoystown,PA,60,Chicken Parts,NA
P843,Pilgrim's Pride Corporation,Marshville,NC,80,Chicken Parts,1
P855,Pilgrim's Pride Corporation,Athens,GA,85,Chicken Parts,NA
P855D,Pilgrim's Pride Corporation,Athens,GA,85,Chicken Parts,1
P8895,Wendel's Poultry Farm,East Concord,NY,60,Chicken Parts,NA
P890,"Peco Foods, Inc.",Canton,MS,90,Chicken Parts,2
P9002,A. Tarantino & Sons,San Francisco,CA,05,Chicken Parts,NA
P910,"Harrison Poultry, Inc.",Bethlehem,GA,85,Chicken Parts,1
P912,Wayne Farms LLC,Union Springs,AL,90,Chicken Parts,1
P9181,Koch Foods of Gainesville GA,Gainesville,GA,85,Chicken Parts,1
P9197,"Perdue Foods, LLC.",Lewiston Woodville,NC,80,Chicken Parts,2
P935,Allen Harim LLC,Harbeson,DE,80,Chicken Parts,1
P9378+V9378,Baffoni's Poultry Farm Inc.,Johnston,RI,60,Chicken Parts,NA
P9917,Philadelphia Poultry Incorporated,Philadelphia,PA,60,Chicken Parts,1
M10017+P10017,Bert Hazekamp & Son Inc.,Muskegon,MI,50,Comminuted Chicken,3
M10307+P10307,"J.G. Food Products, Inc.",Shelby Township,MI,50,Comminuted Chicken,NA
M1160+P9207,Rocker Bros. Meat & Provision Inc.,Inglewood,CA,05,Comminuted Chicken,NA
M12604+P12604,Mulberry Farms Inc.,Gainesville,GA,85,Comminuted Chicken,3
M12610+P12610,Productos El Jibarito,Morovis,PR,85,Comminuted Chicken,NA
M13016+P13016+V13016,"City Meat Steak Co., Inc.",Houston,TX,40,Comminuted Chicken,NA
M13199+P13199,Chorizo de San Manuel Inc.,Edinburg,TX,40,Comminuted Chicken,NA
M13525+P13525,Poche's,Breaux Bridge,LA,40,Comminuted Chicken,NA
M1542+P1542,Isernio's Sausage Co.,Kent,WA,15,Comminuted Chicken,2
M1638+P1638,"Kemin Proteins, LLC",Verona,MO,35,Comminuted Chicken,NA
M1655+P1655+V1655,"Rashbe Holdings, Inc.",Birdsboro,PA,60,Comminuted Chicken,NA
M17074+P17074,A. Gimenez Trading LLC,Oak Ridge,NJ,80,Comminuted Chicken,NA
M1721+P6404,Redondo's LLC,Waipahu,HI,15,Comminuted Chicken,NA
M17217A+P6403A+V17217A,Plymouth Poultry Co.,Auburn,WA,15,Comminuted Chicken,2
M17395+P17395,50th State Poultry,Pearl City,HI,15,Comminuted Chicken,NA
M17428+P17428,Cascioppo Meats,Kirkland,WA,15,Comminuted Chicken,NA
M17480+P17480,Ramar International Corporation,Pittsburg,CA,05,Comminuted Chicken,NA
M1791+P27353,"Best Chicago Meat Company, LLC",Chicago,IL,50,Comminuted Chicken,3
M18237+P18237,"Vital Foods, LLC",Abbeville,SC,85,Comminuted Chicken,3
M18370+P18370,Hometown Sausage Kitchen,East Troy,WI,25,Comminuted Chicken,NA
M18388+P18388,Kayem Foods Inc.,Woburn,MA,60,Comminuted Chicken,NA
M18506+P18506,Pride Enterprise Food Products,Raiford,FL,85,Comminuted Chicken,3
M18527+P18527,Prime Meats LLC,Tucker,GA,85,Comminuted Chicken,1
M18559+P18559+V18559,Grand Food,Hayward,CA,05,Comminuted Chicken,NA
M18596+P18596,K&L Ranch Inc.,Paterson,NJ,80,Comminuted Chicken,NA
M18600+P18600,Greco and Sons,Bartlett,IL,50,Comminuted Chicken,NA
M18667+P18667,Ellsworth Foods Inc.,Tifton,GA,85,Comminuted Chicken,NA
M18726+P18726,La Bella Sausage,Brooksville,FL,85,Comminuted Chicken,3
M1874+P1874,Mondo & Sons,Tukwila,WA,15,Comminuted Chicken,NA
M1882+P1882,"Danielson Food Products, Inc.",Chicago,IL,50,Comminuted Chicken,NA
M18820+P18820,"Mathew's Prime Meats, Inc.",West Babylon,NY,60,Comminuted Chicken,NA
M18835+P18835,"Grand Banks Specialty Food, LLC",Naugatuck,CT,60,Comminuted Chicken,NA
M18895+P18895,"US Foods, Inc.",Hawthorne,CA,05,Comminuted Chicken,NA
M18994+P18994,The 29ers Provisions,Los Angeles,CA,05,Comminuted Chicken,NA
M19113+P19113+G3748+V19113,"Stampede Culinary Partners, Inc.",Bridge View,IL,50,Comminuted Chicken,NA
M1947A+P1947A,Halperns' Steak and Seafood Company LLC,Kalamazoo,MI,50,Comminuted Chicken,NA
M19566A+P19566A,Mr. Pierogi,Brooklyn,NY,60,Comminuted Chicken,1
M1991+P1991,"Wonder Meats Snyder, LLC",Snyder,NE,15,Comminuted Chicken,NA
M19916+P8117+V19916,Salt Lake Fine Foods,Salt Lake City,UT,15,Comminuted Chicken,NA
M20091+P20091,Country Ranch Food Products,Marietta,GA,85,Comminuted Chicken,NA
M20204+P20204+V20204,Denmark Sausage LLC,Peoria,AZ,05,Comminuted Chicken,1
M20887+P20887,Crescent Foods,Chicago,IL,50,Comminuted Chicken,NA
M21207+P21207+V21207,Lorentz Etc. Inc.,Cannon Falls,MN,25,Comminuted Chicken,NA
M21254+P21254,"William & Co., Inc.",Boston,MA,60,Comminuted Chicken,NA
M21444+P21444,Uli's Famous Sausage LLC,Seattle,WA,15,Comminuted Chicken,NA
M21725A+P21725A,GP Food Company,Temple City,CA,05,Comminuted Chicken,NA
M2194+P2194,Pat's Pastured,East Greenwich Road,RI,60,Comminuted Chicken,NA
M2199+P2199,"Omni Custom Meats, Inc.",Bowling Green,KY,90,Comminuted Chicken,NA
M2510+P2510+V2510,Best Choice Meats,Alsip,IL,50,Comminuted Chicken,NA
M27288+P27288,DuBonilha Sausage Company,Newark,NJ,80,Comminuted Chicken,NA
M27349+P27349,"Toluca Mexican Style Food Products, LLC",Baltimore,MD,80,Comminuted Chicken,NA
M27389+P27389+V27389,Pitman Farms,Sanger,CA,05,Comminuted Chicken,3
M27505+P27505,"Gold Creek Processing, LLC",Dawsonville,GA,85,Comminuted Chicken,1
M2840B+P2840B,Golden Gate Meat Company,Richmond,CA,05,Comminuted Chicken,NA
M2886+P2886,SP Provisions,Portland,OR,15,Comminuted Chicken,NA
M2932+P2932,Gotham Gourmet Provisions LLC,East Hanover,NJ,80,Comminuted Chicken,NA
M2933+P2933+V2933,"Syracuse Food Group, LLC",Ponder,TX,40,Comminuted Chicken,3
M3076+P3076+V3076,Kingdom Farms,Chicago,IL,50,Comminuted Chicken,NA
M31727+P31727+V31727A,Kiryas Joel Poultry Processing Plant,Monroe,NY,60,Comminuted Chicken,NA
M31843+P31843,James River Correctional Ctr.,State Farm,VA,80,Comminuted Chicken,3
M31932+P31932,Certified Meat Products,Fresno,CA,05,Comminuted Chicken,NA
M32170+P32170,Ganaderos Borges,Naguabo,PR,85,Comminuted Chicken,NA
M33861+P33861,Standard Meat Company,Saginaw,TX,40,Comminuted Chicken,NA
M34009+P34009,Washington Lamb Inc,Lorton,VA,80,Comminuted Chicken,NA
M34145+P34145,"Kadejan, Inc.",Glenwood,MN,25,Comminuted Chicken,NA
M38521+P38521,Ornna Brazilian Sausage Corp.,Orlando,FL,85,Comminuted Chicken,NA
M4111+P4111+V4111,"Wycen Foods, Inc.",San Leandro,CA,05,Comminuted Chicken,NA
M412+P412,Alpine Meats Inc.,Stockton,CA,05,Comminuted Chicken,NA
M4187+P4187+V4187,"Wayne Provisions Company, Inc.",Vernon,CA,05,Comminuted Chicken,NA
M4255+P4255,Mineo and Sapio's,Buffalo,NY,60,Comminuted Chicken,NA
M42886+P42886,EDCA Foods,Modesto,CA,05,Comminuted Chicken,NA
M4365+P4365,"Frank Wardynski & Sons, Inc.",Buffalo,NY,60,Comminuted Chicken,NA
M4398+P4398,"DiLuigi Foods, Inc",Danvers,MA,60,Comminuted Chicken,2
M44121+P44121,Pelleh Poultry Corp.,Swan Lake,NY,60,Comminuted Chicken,NA
M4445+P4445,Picone Meat Specialties LTD,Mamaroneck,NY,60,Comminuted Chicken,NA
M4460+P4460+V4460,Great American Foods,Newark,NJ,80,Comminuted Chicken,NA
M44941+P44941,"Alcor Foods, Inc.",Bayamon,PR,85,Comminuted Chicken,NA
M44946+P44946,Romeo Foods Inc,Brooklyn,NY,60,Comminuted Chicken,NA
M44976+P44976,Empacadora y Procesadora del Sur,Coamo,PR,85,Comminuted Chicken,NA
M45080+P45080,Bas Foods Inc.,Hayward,CA,05,Comminuted Chicken,NA
M45243+P45243,"Mama La's Kitchen, LLC",Houston,TX,40,Comminuted Chicken,NA
M45348+P45348,NGPM Food Products,Aibonito,PR,85,Comminuted Chicken,NA
M45476+P45476,"Fresno Meat Cuts, LLC",Fresno,CA,05,Comminuted Chicken,NA
M45638+P45638,Trilogy Foods LLC,Gainesville,GA,85,Comminuted Chicken,3
M45640+P45640,Brazilian Taste,Lexington,SC,85,Comminuted Chicken,NA
M4651+P4651,LaFrieda Meats Inc.,North Bergen,NJ,80,Comminuted Chicken,NA
M46594+P46594,"DTF Prep Seattle, LLC",Seattle,WA,15,Comminuted Chicken,NA
M46777+P46777,Bob's Processing Inc.,South Haven,MI,50,Comminuted Chicken,NA
M46808+P46808,"Superior Sausage, LLC",District Heights,MD,80,Comminuted Chicken,NA
M46818+P46818,World Class Kitchens-Freehold,Freehold,NJ,80,Comminuted Chicken,NA
M46966+P46966,Encore Sausage Company,Hyattsville,MD,80,Comminuted Chicken,NA
M47307+P47307,"Shahs Halal New Horizons Processing, Inc.",Amityville,NY,60,Comminuted Chicken,NA
M47592A+P47592A,"North Bay Butchers, LLC",Marshall,CA,05,Comminuted Chicken,NA
M47770+P47770,Freshrealm,Montezuma,GA,85,Comminuted Chicken,NA
M48087+P48087+V48087,"Marin Sun Farms, Inc.",Petaluma,CA,05,Comminuted Chicken,NA
M48235+P48235+V48235,"Crescent Specialty Foods, LLC",Farmingdale,NY,60,Comminuted Chicken,NA
M48272+P48272,Inland Seafood Corporation,Birmingham,AL,90,Comminuted Chicken,NA
M4846+P4846,Heatherfield Foods LLC,Moreno Valley,CA,05,Comminuted Chicken,3
M4934+P4934,T & J Sausage Kitchen,Anaheim,CA,05,Comminuted Chicken,3
M4985+P4985,"Modesto Food Distributors, Inc.",Hayward,CA,05,Comminuted Chicken,NA
M5072+P5072,"Amazon Foods, Inc.",Chicopee,MA,60,Comminuted Chicken,NA
M51204+P51204,"New York Beef Company, LLC",Poughkeepsie,NY,60,Comminuted Chicken,NA
M5200+P5200+V5200,"Prime Food Distributor, Inc.",Port Washington,NY,60,Comminuted Chicken,NA
M5268+P5268,"Cola Foods, LLC",Cranston,RI,60,Comminuted Chicken,3
M5275+P5275,Lupo's Quality Deli,Endicott,NY,60,Comminuted Chicken,NA
M5292+P5292,"G & L Meat Company, Inc.",North Syracuse,NY,60,Comminuted Chicken,NA
M5351+P5351,Martin's Specialty Sausage Company Inc.,Mickleton,NJ,80,Comminuted Chicken,3
M5477+P5477,"Unity Beef Sausage Co., Inc.",Newark,NJ,80,Comminuted Chicken,NA
M5562+P5562+V5562,S&S Quality Meats,Emporia,KS,35,Comminuted Chicken,2
M5697+P5697+V5697,Swanson Meat Co.,Minneapolis,MN,25,Comminuted Chicken,NA
M5916+P5916+V5916,"Longhini, LLC",New Haven,CT,60,Comminuted Chicken,1
M5952+P5952,Lamberti Packing Company,New Haven,CT,60,Comminuted Chicken,NA
M6028A+P4114+V6028A,West Coast Prime Meats LLC,Brea,CA,05,Comminuted Chicken,NA
M6056A+P6056A,Schenk Packing Company Warehouse,Mount Vernon,WA,15,Comminuted Chicken,NA
M6086+P6086,Silva Sausage Co.,Gilroy,CA,05,Comminuted Chicken,NA
M6124+P6124+V6124,"Compass Foods, Inc.",Modesto,CA,05,Comminuted Chicken,NA
M6154+P6154,Caggiano Company,Sebastopol,CA,05,Comminuted Chicken,NA
M6206+P6206+V6206,"Fabrique Delices, LLC",Hayward,CA,05,Comminuted Chicken,NA
M6239+P6239+V6239,Shamrock Foods Company,Phoenix,AZ,05,Comminuted Chicken,NA
M6267+P6267,Interbay Food Company,Woodinville,WA,15,Comminuted Chicken,NA
M6308+P6308,"Zenner's Quality Meat Products, Inc.",Wilsonville,OR,15,Comminuted Chicken,NA
M6424+P6424,Fischer Meats,Issaquah,WA,15,Comminuted Chicken,NA
M6474+P6474,Polidori Meat Processors Inc.,Denver,CO,15,Comminuted Chicken,NA
M6479+P6479,"Mr. J's Tamales & Chili, Inc.",Lynwood,CA,05,Comminuted Chicken,NA
M6692+P6692,"Marvel International, Inc.",Guaynabo,PR,85,Comminuted Chicken,NA
M6765+P6765,Wichita Packing Company,Chicago,IL,50,Comminuted Chicken,NA
M7231+P7231,HEB Meat Plant,San Antonio,TX,40,Comminuted Chicken,2
